file_path,sentence,speaker_id,emotion
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1612982146424.wav,E’ andato a scuola dopo pranzo,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613378571270.wav,E’ andato a scuola dopo pranzo,e7d486b923ff5d70ab28d1f0383f613f4e2d4e02514966f3ff6cdc7446b2f3cd,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613472729970.wav,Tornerà a casa presto,f8710902ce31a673185ffd93d3140f32bea4098fee10e39532557626b4d05efb,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614266094803.wav,Non sapevo che fosse in città,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613405836816.wav,Ieri un gatto ha bevuto dalla tazza,415eb3920eb4b3d4645eb42bae62fd32cdd3e731c2662cbb0d480c3792b43066,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614080693522.wav,Tornerà a casa presto,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614241720253.wav,Vorrei il numero telefonico del Signor Piatti,5e05cb515b5e6aee84325a8ceeb28a92c2d8d01c6b0f4bb0e743bd04ece7557e,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1616505237674.wav,La cascata fa molto rumore,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613653182817.wav,L’ho incontrato oggi dopo 2 anni,d025f207376489fde96cf5f49b4733dd1eb16b188a60643ab438907f715aa585,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1612982076287.wav,L’ho incontrato oggi dopo 2 anni,b3c7c357c77848765caaded035be8800169fb4dc53996f78ed5b0b24403427f4,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614067055983.wav,Vorrei il numero telefonico del Signor Piatti,55fc0a5c4fd6c3fa7229693d5dae186842266785dedb80fd9b8a29b8fee8b364,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613478744873.wav,Oggi c’è una partita di basket,e61c967ecc0fae999d10c15d02651ffe305abe702e3a0387ba4d3fb5cddfb7c3,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1616504932463.wav,Oggi c’è una partita di basket,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614013028307.wav,Zia Marta ha detto che devo stare a casa stasera,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613478705644.wav,L’ho incontrato oggi dopo 2 anni,e61c967ecc0fae999d10c15d02651ffe305abe702e3a0387ba4d3fb5cddfb7c3,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1616504852610.wav,Il capo mi ha affidato un altro lavoro,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1613311223626.wav,L’ho incontrato oggi dopo 2 anni,c5901553395ac83eaed42a12f1732d6d12918f0f6078469a7a7fa0ba1b0ffb8c,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614636245119.wav,Non sapevo che fosse in città,00a0efc0faaeb5a288481a25b5d0b7d4c0b070120c6d61be6ef7b255fcdfd17f,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614509743835.wav,Il cane ha riportato qui la palla,068ce32e3f80d8e879142b417ba9f9ab2985ef1f102167758eb0450d047e099a,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1616505037616.wav,E’ una notte stellata,3f9b6ed1d2adc407ef668b8c89a89fe022f2233d94ce943294c6ed030d18f2ff,anger
C:/Users/miche/PycharmProjects/EmotionRecognition/audio\1614080341795.wav,Tommaso ha detto che dovevo scegliere io cosa fare,07f763295ba2764d034d200456b42eb8bf498d341c586a4992d62b7bdb0418a0,anger
